scorer,,,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril,Shahril
labeled-data,BelowKnee_Posterior,img008.png,679.7879688483682,363.38620701269286,675.9176109054241,494.9783770727903,664.3316684870463,625.9087332020941,,,615.8767999688832,358.6236538153756,602.3808099894874,502.7190929586784,604.5715016949936,629.523578411004,,
labeled-data,BelowKnee_Posterior,img009.png,680.7555583341042,365.6271615391075,681.086465299501,486.34546593252884,664.3316684870463,626.2396401674908,,,614.909210483147,359.2603363357147,603.6541750301659,504.0678522307196,,,,
labeled-data,BelowKnee_Posterior,img010.png,681.7231478198403,363.38620701269286,683.6583267913122,489.17284015837424,665.2741265623281,629.4733155900956,,,621.0707857734142,360.63422701821014,602.3808099894874,507.5570403873584,,,,
labeled-data,BelowKnee_Posterior,img011.png,679.7879688483682,361.45102804122087,682.6907373055762,488.20525067263816,664.3316684870463,632.0451770819068,,,620.689615987109,357.7314585610021,605.2835784466954,504.6542719301504,,,,
labeled-data,BelowKnee_Posterior,img012.png,681.7231478198403,357.5806700982768,680.7555583341042,492.07560861558227,665.2741265623281,632.3760840473036,,,622.0635066696044,355.44024121367914,609.1539363896395,496.91355604426235,605.2835784466954,596.5752730750713,,
labeled-data,BelowKnee_Posterior,img013.png,681.7231478198403,360.48343855548484,680.7555583341042,489.17284015837424,665.6050335277248,636.2464419902476,,,621.0456543629599,357.35028877469693,609.1539363896395,492.07560861558227,610.7330769852606,601.4132205037514,,
labeled-data,BelowKnee_Posterior,img014.png,683.6583267913122,361.45102804122087,682.6907373055762,488.2052506726383,666.2417160480641,637.2140314759836,,,624.2793297855648,357.9869712950362,609.1539363896395,485.3024822154302,616.2077069342798,603.7044378510743,,
labeled-data,BelowKnee_Posterior,img015.png,688.4962742199923,357.5806700982768,682.6907373055762,488.2052506726383,665.2992579727822,642.332623049152,,,625.2469192713007,355.44024121367914,612.0567048468474,487.23766118690224,619.7974207327356,613.7112396738312,,
labeled-data,BelowKnee_Posterior,img016.png,680.7555583341042,356.5879492020865,682.6907373055762,491.1080191298461,667.2093055338,641.0843894189277,,,623.3368717102829,351.2138448948841,612.0567048468474,482.39971375822216,622.3441508140927,620.4843660739833,,
labeled-data,BelowKnee_Posterior,img017.png,682.6907373055762,355.6454911268048,680.7555583341042,489.1728401583741,667.2093055338,643.0195683903996,,,623.718041496588,350.85780651903326,611.0891153611115,486.2700717011662,621.401692738811,624.9662751268123,,
labeled-data,BelowKnee_Posterior,img018.png,679.7879688483682,356.6130806125408,681.7231478198403,490.14042964411016,668.1768950195361,644.9547473618717,,,621.1210485943226,354.42238890703464,613.0242943325835,491.1080191298463,621.4016927388109,626.3150343988534,,
labeled-data,BelowKnee_Posterior,img019.png,683.6583267913122,360.48343855548484,681.7231478198403,491.1080191298461,669.1444845052721,647.8575158190797,,,621.0959171838683,358.3178782604331,615.9270627897915,494.0107875870543,618.8298312469996,619.8225521431898,,
labeled-data,BelowKnee_Posterior,img020.png,684.6259162770483,360.48343855548484,679.7879688483682,496.9135560442622,666.597754423915,646.6595450097639,,,619.8225521431898,362.2133676138312,613.0242943325835,494.9783770727903,618.8298312469996,612.7687815985495,,
labeled-data,BelowKnee_Posterior,img021.png,681.7231478198403,366.2889754699009,680.7555583341042,495.9459665585262,667.8459880541393,645.6416927031195,,,618.8298312469997,367.25656495563703,615.9270627897915,496.91355604426235,620.1031962876781,612.106967667756,,
labeled-data,BelowKnee_Posterior,img022.png,678.8203793626321,364.3537964984289,676.8852003911602,495.9459665585262,668.1768950195361,646.6092821888553,,,620.7650102184716,365.4219116259818,615.9270627897915,494.0107875870543,620.7901416289258,615.3155116799065,,
labeled-data,BelowKnee_Posterior,img023.png,672.0472529624801,368.2241544413729,671.0796634767441,495.9459665585262,669.1444845052721,637.9009768172313,,,620.7650102184717,367.68799756285057,617.8622417612635,495.9459665585263,623.9735542306221,616.2831011656425,,
labeled-data,BelowKnee_Posterior,img024.png,671.0796634767441,368.2241544413729,672.0472529624801,499.8163245014702,668.1768950195361,631.4084945615675,,,618.2182801371146,367.3570905974538,618.8298312469996,493.0431981013183,624.6353681614156,617.8622417612636,,
labeled-data,BelowKnee_Posterior,img025.png,672.04725296248,367.2565649556369,671.0796634767441,499.8163245014702,664.3316684870463,609.2041992105477,,,619.110475391488,366.03346273586686,616.8946522755275,493.0431981013183,623.6677786756796,617.8622417612636,,
labeled-data,BelowKnee_Posterior,img026.png,669.1444845052721,366.2889754699009,675.9176109054242,496.9135560442622,661.7598069952348,600.4456310180152,,,619.7722893222814,362.5191431687737,617.8622417612635,492.07560861558227,623.9986856410763,623.3368717102828,,
labeled-data,BelowKnee_Posterior,img027.png,669.1444845052721,359.5158490697489,679.7879688483682,493.04319810131824,662.3713581051201,595.6076835893351,,,616.8946522755276,358.5482595840129,617.8622417612635,496.91355604426235,624.6353681614156,624.6353681614156,,
labeled-data,BelowKnee_Posterior,img028.png,670.112073991008,358.54825958401284,686.5610952485202,485.30248221543013,662.3713581051201,594.6400941035992,,,617.8622417612637,359.5158490697489,619.7974207327356,490.14042964411027,625.6029576471517,629.4733155900956,,
labeled-data,BelowKnee_Posterior,img029.png,674.9500214196881,352.7427226695967,686.5610952485202,478.5293558152781,664.306537076592,593.6725046178632,,,620.7650102184715,351.7751331838608,618.8298312469996,486.2700717011662,626.5705471328877,632.3760840473036,,
labeled-data,BelowKnee_Posterior,img030.png,678.8203793626321,353.71031215533276,689.4638637057283,472.72381890086206,665.2741265623281,600.4456310180153,,,620.7650102184715,353.7103121553328,619.7974207327356,487.23766118690224,626.5956785433418,634.6673013946266,,
labeled-data,BelowKnee_Posterior,img031.png,672.0472529624801,349.83995421238876,685.5935057627843,469.82105044365386,673.0148424482161,601.4132205037514,,,621.7325997042076,349.8399542123887,616.8946522755275,489.17284015837424,626.9014540982844,635.6348908803627,,
labeled-data,BelowKnee_Posterior,img032.png,677.8527898768962,348.87236472665273,685.5935057627843,466.91828198644583,675.9176109054242,609.1539363896394,,,620.7650102184716,349.8399542123889,618.8298312469996,489.17284015837424,625.6029576471517,640.1167999331917,,
labeled-data,BelowKnee_Posterior,img033.png,675.9176109054241,354.6779016410688,679.7879688483682,466.91828198644583,677.8527898768962,614.9594733040556,,,623.6677786756796,351.7751331838608,619.7974207327356,490.14042964411027,625.6029576471517,642.0519789046638,,
labeled-data,BelowKnee_Posterior,img034.png,679.7879688483681,359.5158490697488,679.7879688483682,471.7562294151259,680.7555583341042,615.9270627897915,,,619.7974207327356,357.58067009827687,619.7974207327356,488.2052506726382,625.6029576471517,643.0195683903997,,
labeled-data,BelowKnee_Posterior,img035.png,680.7555583341043,362.41861752695684,681.7231478198403,478.52935581527805,684.6259162770482,612.0567048468475,,,623.6677786756796,360.48343855548495,620.7650102184716,490.14042964411027,626.5705471328877,646.8899263333439,,
labeled-data,BelowKnee_Posterior,img036.png,683.6583267913123,368.2241544413729,679.7879688483682,480.46453478675,686.5610952485202,605.2835784466954,,,624.6353681614156,367.256564955637,622.7001891899436,489.17284015837424,628.5057261043596,647.8575158190798,,
labeled-data,BelowKnee_Posterior,img037.png,686.5610952485204,373.06210187005297,680.7555583341042,485.3024822154301,681.7231478198403,604.3159889609594,,,625.6029576471517,370.159333412845,623.6677786756795,489.17284015837424,632.3760840473037,645.9223368476078,,
labeled-data,BelowKnee_Posterior,img038.png,689.4638637057284,375.964870327261,683.6583267913122,486.27007170116605,678.8203793626321,606.2511679324314,,,627.5381366186236,374.02969135578905,628.5057261043596,487.23766118690224,630.4409050758318,640.1167999331917,,
labeled-data,BelowKnee_Posterior,img039.png,689.4638637057284,375.964870327261,685.5935057627844,489.17284015837413,677.8527898768962,611.0891153611115,,,631.4084945615677,372.09451238431706,628.5057261043596,487.23766118690224,628.786370248848,635.9657978457594,,
labeled-data,BelowKnee_Posterior,img040.png,692.3666321629364,372.094512384317,690.4314531914644,488.20525067263816,678.8203793626321,612.0567048468475,,,633.9300932324705,371.17718571948944,628.5057261043596,489.17284015837424,627.4627423872611,624.3798554273812,,
labeled-data,BelowKnee_Posterior,img041.png,692.3666321629364,373.06210187005297,690.4314531914644,486.27007170116616,680.7555583341042,613.0242943325835,,,637.2140314759838,360.4834385554849,621.7325997042076,490.14042964411027,622.013243848696,609.8660131413412,,
labeled-data,BelowKnee_Posterior,img042.png,694.3018111344084,369.191743927109,693.3342216486725,478.5293558152781,679.7879688483682,614.9594733040556,,,642.0519789046639,361.451028041221,621.7325997042076,493.0431981013183,,,,
labeled-data,BelowKnee_Posterior,img043.png,694.3018111344084,367.2565649556369,695.2694006201444,477.5617663295421,680.7555583341042,615.9270627897915,,,641.0843894189279,356.6130806125409,620.7650102184716,495.9459665585263,,,,
labeled-data,BelowKnee_Posterior,img044.png,694.3018111344084,360.48343855548484,692.3666321629364,475.62658735807014,677.8527898768962,616.8946522755275,,,641.0843894189279,353.7103121553328,621.7325997042076,486.2700717011662,,,,
labeled-data,BelowKnee_Posterior,img045.png,696.2369901058803,357.58067009827676,691.3990426772004,475.62658735807014,678.8203793626321,616.8946522755275,,,644.6489718069294,348.6419834030729,623.6677786756795,483.3673032439582,628.174819138963,580.8131971588068,,
labeled-data,BelowKnee_Posterior,img046.png,696.2369901058804,355.64549112680476,690.4314531914644,471.75622941512603,680.7555583341042,618.8298312469996,,,645.9223368476079,348.8723647266528,622.7001891899436,481.4321242724862,630.4409050758318,584.9641992462392,,
labeled-data,BelowKnee_Posterior,img047.png,698.1721690773525,354.6779016410688,687.5286847342563,471.75622941512603,678.8203793626321,621.7325997042076,,,642.0519789046638,345.0020067837087,619.7974207327356,469.821050443654,633.3436735330398,591.7373256463912,,
labeled-data,BelowKnee_Posterior,img048.png,694.3018111344084,352.7427226695968,688.4962742199924,465.95069250071,678.8203793626321,621.7325997042076,,,642.0519789046639,345.9695962694447,621.7325997042076,467.885871472182,634.5919071632641,599.4780415322793,,
labeled-data,BelowKnee_Posterior,img049.png,694.3018111344084,349.83995421238876,686.5610952485204,472.7238189008621,678.8203793626321,621.7325997042076,,,641.0843894189279,344.03441729797277,622.7001891899436,463.04792404350195,632.3760840473037,601.4132205037514,,
labeled-data,BelowKnee_Posterior,img050.png,689.4638637057285,352.74272266959673,686.5610952485204,476.5941768438061,673.0148424482161,624.6353681614156,,,637.1637686550754,343.72864174303027,619.7974207327356,464.0155135292379,628.8366330697564,603.7547006719826,,
labeled-data,BelowKnee_Posterior,img051.png,684.6259162770483,348.87236472665273,686.5610952485204,475.62658735807014,675.9176109054242,627.5381366186236,,,634.3112630187757,345.96959626944476,622.7001891899436,469.821050443654,624.2793297855646,603.3986622961318,601.6268211838096,599.4026681044872
labeled-data,BelowKnee_Posterior,img052.png,684.6259162770483,353.71031215533276,686.5610952485204,478.52935581527817,676.8852003911602,628.5057261043596,,,631.4084945615676,349.83995421238876,620.7650102184716,471.75622941512603,618.4737928711487,599.7838170872219,,
labeled-data,BelowKnee_Posterior,img053.png,681.7231478198403,356.6130806125408,684.6259162770483,479.49694530101414,673.9824319339521,637.2140314759838,,,628.5057261043596,348.8723647266528,616.8946522755275,476.59417684380605,617.2004278304701,597.262218416319,,
labeled-data,BelowKnee_Posterior,img054.png,679.7879688483683,358.5482595840128,679.7879688483683,482.39971375822216,672.0472529624801,635.2788525045117,,,626.5705471328878,356.6130806125409,616.8946522755275,478.5293558152781,614.9092104831471,599.808948497676,,
labeled-data,BelowKnee_Posterior,img055.png,675.9176109054242,357.5806700982768,677.8527898768963,485.3024822154302,673.0148424482161,635.2788525045117,,,622.7001891899436,357.58067009827687,615.9270627897915,475.6265873580701,614.297659373262,603.9850819955626,,
labeled-data,BelowKnee_Posterior,img056.png,674.9500214196883,363.38620701269286,673.0148424482162,486.2700717011663,669.1444845052721,624.6353681614156,,,619.0853439810336,358.2676154395245,610.1215258753755,475.6265873580701,613.9918838183196,607.2690202390758,,
labeled-data,BelowKnee_Posterior,img057.png,672.0472529624801,364.3537964984289,670.1120739910082,487.23766118690224,668.176895019536,613.0242943325835,,,614.9594733040556,360.48343855548495,609.1539363896395,474.65899787233406,610.1466572858297,609.8408817308871,,
labeled-data,BelowKnee_Posterior,img058.png,667.2093055338001,361.45102804122087,666.2417160480642,487.23766118690224,662.37135810512,597.5428625608074,,,616.5637453101308,358.6487852258297,608.1863469039034,474.65899787233406,612.0315734363934,613.3552012979802,,
labeled-data,BelowKnee_Posterior,img059.png,668.1768950195361,357.58067009827676,672.0472529624802,486.2700717011663,660.436179133648,586.8993782177113,,,616.8946522755275,354.6779016410689,608.1863469039034,474.65899787233406,612.0567048468475,618.8549626574538,,
labeled-data,BelowKnee_Posterior,img060.png,668.1768950195361,354.67790164106873,675.9176109054242,484.3348927296942,656.5658211907039,581.0938413032952,,,615.9270627897915,350.80754369812485,609.1539363896395,472.723818900862,611.0891153611116,624.6353681614156,,
labeled-data,BelowKnee_Posterior,img061.png,669.1444845052721,350.8075436981248,679.7879688483683,480.4645347867502,654.630642219232,583.0290202747672,,,619.7974207327356,345.96959626944476,606.2511679324315,476.59417684380605,611.0891153611116,625.6029576471516,,
labeled-data,BelowKnee_Posterior,img062.png,670.1120739910083,347.9047752409167,677.8527898768963,474.65899787233406,656.5658211907039,587.8669677034472,,,615.9270627897916,343.0668278122368,613.0242943325835,479.4969453010141,612.0567048468475,631.4084945615676,,
labeled-data,BelowKnee_Posterior,img063.png,673.0148424482163,337.2612908978206,676.8852003911603,468.853460957918,657.53341067644,593.6725046178633,,,621.7325997042077,336.2937014120847,611.0891153611115,478.52935581527805,613.9918838183196,631.4084945615677,,
labeled-data,BelowKnee_Posterior,img064.png,673.0148424482161,345.0020067837087,680.7555583341043,464.01551352923804,663.338947590856,602.3808099894874,,,622.7001891899437,344.03441729797277,612.0567048468475,478.52935581527805,616.2579697551884,633.0630293885514,,
labeled-data,BelowKnee_Posterior,img065.png,673.9824319339522,345.0020067837087,677.8527898768963,464.983103014974,667.2093055338,611.0891153611115,,,618.8298312469996,345.9695962694448,613.9918838183195,474.65899787233406,616.8946522755276,636.3218362216104,,
labeled-data,BelowKnee_Posterior,img066.png,673.0148424482162,353.7103121553328,674.9500214196883,464.983103014974,669.1444845052721,612.0567048468474,,,621.7325997042077,351.7751331838609,611.0891153611115,479.4969453010141,617.5313347958669,634.3866572501385,,
labeled-data,BelowKnee_Posterior,img067.png,669.1444845052722,353.71031215533276,674.9500214196883,472.7238189008621,672.0472529624801,610.1215258753755,,,625.6029576471517,355.6454911268048,613.9918838183195,483.36730324395813,614.9846047145098,637.2894257073465,,
labeled-data,BelowKnee_Posterior,img068.png,676.8852003911602,361.45102804122087,673.0148424482162,474.65899787233406,668.176895019536,605.2835784466954,,,621.7325997042077,359.51584906974887,613.0242943325835,478.52935581527805,614.6034349282046,636.9836501524039,,
labeled-data,BelowKnee_Posterior,img069.png,674.9500214196883,361.45102804122087,673.9824319339523,479.49694530101414,668.176895019536,605.2835784466954,,,622.7001891899437,358.54825958401284,612.0567048468475,477.5617663295421,613.6107140320145,635.0233397704777,,
labeled-data,BelowKnee_Posterior,img070.png,673.014842448216,362.4186175269569,673.0148424482162,480.4645347867502,666.2417160480641,602.3808099894874,,,624.6353681614157,360.4834385554849,611.0891153611115,477.5617663295421,612.6933873671868,631.1278504170795,,
labeled-data,BelowKnee_Posterior,img071.png,675.9176109054242,360.48343855548484,673.0148424482162,479.49694530101414,664.306537076592,603.3483994752235,,,626.5705471328877,357.58067009827676,613.9918838183195,478.52935581527805,611.0639839506573,628.5308575148139,,
labeled-data,BelowKnee_Posterior,img072.png,676.8852003911602,362.41861752695684,675.9176109054242,475.62658735807014,666.2417160480641,609.1539363896395,,,623.6677786756795,356.6130806125407,613.0242943325835,477.5617663295421,609.7906189099788,622.0635066696043,,
labeled-data,BelowKnee_Posterior,img073.png,677.8527898768963,359.5158490697488,678.8203793626321,475.62658735807,667.2093055338,612.0567048468474,,,629.4733155900956,357.58067009827664,610.1215258753755,481.4321242724861,609.1288049791854,607.2438888286217,,
labeled-data,BelowKnee_Posterior,img074.png,685.5935057627843,361.45102804122087,679.7879688483682,478.52935581527805,668.176895019536,611.0891153611115,,,625.6029576471516,356.61308061254067,612.0567048468475,480.4645347867501,604.9526714812987,591.1257745365062,,
labeled-data,BelowKnee_Posterior,img075.png,689.4638637057283,354.6779016410688,682.6907373055762,470.78863992939,670.1120739910082,611.0891153611115,,,630.4409050758316,349.83995421238865,613.0242943325835,485.30248221543013,,,,
labeled-data,BelowKnee_Posterior,img076.png,685.5935057627843,357.5806700982768,681.7231478198403,470.78863992939,670.1120739910082,613.0242943325835,,,630.4409050758317,350.8075436981247,616.8946522755275,481.4321242724861,606.2511679324315,572.385535931671,,
labeled-data,BelowKnee_Posterior,img077.png,683.6583267913122,350.8075436981248,679.7879688483682,467.885871472182,670.1120739910082,616.8946522755275,,,631.4084945615677,345.0020067837086,616.8946522755275,474.65899787233406,609.7906189099788,572.7164428970679,,
labeled-data,BelowKnee_Posterior,img078.png,684.6259162770482,348.8723647266527,682.6907373055762,466.918281986446,670.1120739910082,616.8946522755275,,,632.9876351571888,345.052269604617,616.8946522755275,468.85346095791795,615.6212872348491,573.0724812729188,,
labeled-data,BelowKnee_Posterior,img079.png,686.5610952485202,350.80754369812473,683.6583267913122,464.98310301497395,671.0796634767441,616.8946522755275,,,634.3112630187758,343.06682781223657,617.8622417612636,460.14515558629387,618.1931487266603,580.1513832280134,,
labeled-data,BelowKnee_Posterior,img080.png,686.5610952485202,347.9047752409167,680.7555583341042,466.918281986446,673.9824319339521,617.8622417612635,,,631.4084945615677,342.0992383265006,618.8298312469996,460.14515558629387,622.0383752591501,588.8345571891832,,
labeled-data,BelowKnee_Posterior,img081.png,688.4962742199923,345.0020067837087,685.5935057627843,466.918281986446,674.9500214196881,618.8298312469996,,,631.689138706056,339.55250824514343,619.7974207327355,458.20997661482187,621.7074682937535,593.7478988492259,,
labeled-data,BelowKnee_Posterior,img082.png,685.5935057627843,346.93718575518074,686.5610952485202,466.918281986446,674.9500214196881,619.7974207327355,,,632.0200456714527,344.7213626392202,622.7001891899436,454.3396186718778,618.5491871025112,596.5752730750713,,
labeled-data,BelowKnee_Posterior,img083.png,685.5935057627843,345.96959626944465,688.4962742199923,466.918281986446,674.9500214196881,619.7974207327355,,,629.0921458037906,343.16735345405345,617.8622417612636,455.30720815761384,618.1680173162061,596.9313114509223,,
labeled-data,BelowKnee_Posterior,img084.png,685.5935057627843,344.03441729797265,687.5286847342563,468.85346095791795,675.9176109054242,621.7325997042076,,,630.6712863994115,345.40830798046795,621.7325997042076,463.0479240435019,619.1356068019421,591.8127198777538,,
labeled-data,BelowKnee_Posterior,img085.png,684.6259162770482,356.6130806125408,687.5286847342563,471.756229415126,678.8203793626321,622.7001891899436,,,632.9876351571886,355.0088086064654,622.7001891899436,469.821050443654,620.1031962876781,589.5717653513392,,
labeled-data,BelowKnee_Posterior,img086.png,682.6907373055762,357.5806700982768,687.5286847342563,476.59417684380605,680.7555583341042,623.6677786756795,,,634.2358687874131,354.0914819416378,622.7001891899436,475.62658735807,619.1607382123963,589.5215025304309,,
labeled-data,BelowKnee_Posterior,img087.png,682.6907373055762,360.48343855548484,684.6259162770483,477.561766329542,681.7231478198403,614.9594733040556,,,632.2755584054869,358.62365381537535,624.6353681614156,473.691408386598,620.4341032530748,592.3991395771848,,
labeled-data,BelowKnee_Posterior,img088.png,680.7555583341042,363.38620701269286,686.5610952485204,480.46453478675005,679.7879688483682,607.2187574181673,,,628.8115016593022,363.81763961990634,624.6353681614156,469.82105044365403,621.7074682937533,593.7227674387716,,
labeled-data,BelowKnee_Posterior,img089.png,674.9500214196881,361.45102804122087,679.7879688483683,478.5293558152781,679.7879688483682,600.4456310180153,,,629.0670143933363,358.9796921912263,622.7001891899436,471.7562294151261,621.7325997042076,598.5104520465434,,
labeled-data,BelowKnee_Posterior,img090.png,673.0148424482161,355.6454911268048,679.7879688483683,481.43212427248613,675.9176109054242,584.9641992462391,,,632.3760840473038,353.71031215533264,621.7325997042076,474.6589978723341,621.7325997042076,599.4780415322793,,
labeled-data,BelowKnee_Posterior,img091.png,676.8852003911602,354.67790164106884,682.6907373055764,481.43212427248613,671.0796634767441,572.385535931671,,,637.2140314759837,352.7427226695966,620.7650102184716,470.78863992939006,620.7650102184716,604.3159889609594,,
labeled-data,BelowKnee_Posterior,img092.png,677.852789876896,353.7103121553328,680.7555583341043,480.46453478675005,667.2093055338,570.4503569601991,,,627.5381366186236,348.8723647266526,621.7325997042076,472.72381890086206,620.7650102184716,604.3159889609594,,
labeled-data,BelowKnee_Posterior,img093.png,681.7231478198403,351.7751331838607,687.5286847342563,475.6265873580701,664.306537076592,569.482767474463,,,629.4733155900956,348.8723647266526,621.7325997042076,471.75622941512603,620.7650102184716,607.2187574181675,,
labeled-data,BelowKnee_Posterior,img094.png,677.8527898768962,346.9371857551807,690.4314531914644,459.1775661005579,661.403768619384,573.353125417407,,,631.4084945615675,344.0344172979726,620.7650102184716,470.78863992939006,623.6677786756796,609.1539363896394,,
labeled-data,BelowKnee_Posterior,img095.png,674.9500214196881,347.9047752409167,687.5286847342563,451.4368502146698,663.338947590856,580.1262518175591,,,631.4084945615676,346.9371857551806,622.7001891899436,469.82105044365403,621.7325997042076,612.0567048468474,,
labeled-data,BelowKnee_Posterior,img096.png,680.7555583341043,344.03441729797265,684.6259162770482,452.40443970040576,661.403768619384,582.0614307890312,,,629.4733155900957,342.09923832650054,619.7974207327355,471.7562294151261,617.8622417612636,613.9918838183195,,
labeled-data,BelowKnee_Posterior,img097.png,677.8527898768963,344.03441729797265,681.7231478198403,448.53408175746176,662.37135810512,583.9966097605032,,,631.4084945615676,344.0344172979726,617.8622417612636,475.62658735807014,617.8622417612636,613.0242943325835,,
labeled-data,BelowKnee_Posterior,img098.png,675.9176109054242,345.9695962694447,680.7555583341042,453.3720291861418,667.2093055338,592.7049151321273,,,631.4084945615676,345.9695962694446,618.8298312469996,470.78863992939006,617.8622417612636,613.9918838183195,,
labeled-data,BelowKnee_Posterior,img099.png,674.9500214196883,348.87236472665273,675.9176109054242,455.30720815761384,671.0796634767441,592.7049151321273,,,630.4409050758317,349.83995421238865,617.8622417612636,473.6914083865981,616.8946522755275,616.8946522755275,,
labeled-data,BelowKnee_Posterior,img100.png,675.9176109054241,352.74272266959673,676.8852003911602,459.17756610055784,671.0796634767441,585.9317887319752,,,628.5057261043596,346.93718575518056,617.8622417612636,472.72381890086206,620.4089718426208,613.0745571534919,,
labeled-data,BelowKnee_Posterior,img101.png,674.9500214196881,355.64549112680476,678.8203793626321,466.91828198644595,672.0472529624801,587.8669677034472,,,631.4084945615676,352.7427226695966,613.9918838183196,479.49694530101414,621.0959171838683,615.6715500557575,,
labeled-data,BelowKnee_Posterior,img102.png,675.9176109054241,360.48343855548484,679.7879688483681,471.756229415126,667.2093055338,588.8345571891832,,,631.4084945615677,355.6454911268047,615.9270627897915,471.75622941512603,617.8873731717177,610.5529584825891,,
labeled-data,BelowKnee_Posterior,img103.png,678.8203793626323,360.48343855548484,678.8203793626321,474.658997872334,669.1444845052721,593.6725046178633,,,632.3760840473037,355.6454911268047,617.8622417612636,473.6914083865981,615.9270627897915,610.1215258753755,,
labeled-data,BelowKnee_Posterior,img104.png,678.8203793626323,358.5482595840128,678.8203793626321,466.91828198644595,670.1120739910081,595.6076835893354,,,629.4733155900957,353.71031215533264,617.8622417612636,471.75622941512603,615.9270627897915,603.3483994752233,,
labeled-data,BelowKnee_Posterior,img105.png,677.8527898768963,353.71031215533276,685.5935057627842,467.885871472182,670.1120739910081,595.6076835893354,,,629.4733155900957,348.87236472665256,615.9270627897915,469.82105044365403,614.6034349282047,587.8669677034472,,
labeled-data,BelowKnee_Posterior,img106.png,680.7555583341042,351.77513318386076,686.5610952485202,464.98310301497395,669.1444845052722,596.5752730750714,,,631.4084945615676,347.90477524091665,617.8622417612636,472.72381890086206,,,,
labeled-data,BelowKnee_Posterior,img107.png,683.6583267913121,351.77513318386076,687.5286847342563,464.98310301497395,669.1444845052722,595.6076835893355,,,636.2464419902476,345.96959626944465,618.8298312469996,471.75622941512603,,,,
labeled-data,BelowKnee_Posterior,img108.png,684.6259162770483,352.74272266959673,687.5286847342563,461.1127450720299,671.0796634767441,597.5428625608075,,,638.1816209617198,346.9371857551807,622.7001891899436,471.75622941512603,,,,
labeled-data,BelowKnee_Posterior,img109.png,687.5286847342562,348.8723647266527,683.6583267913122,463.0479240435019,671.0796634767441,602.3808099894875,,,641.0843894189276,343.0668278122366,622.7001891899436,461.11274507202995,,,,
labeled-data,BelowKnee_Posterior,img110.png,691.3990426772003,346.9371857551807,685.5935057627842,465.9506925007099,671.0796634767441,602.3808099894875,,,642.0519789046638,343.0668278122366,622.7001891899436,462.080334557766,622.7001891899436,565.612409531519,,
labeled-data,BelowKnee_Posterior,img111.png,693.3342216486723,347.9047752409167,687.5286847342563,459.17756610055795,673.0148424482162,605.2835784466955,,,643.0195683903997,341.1316488407647,622.7001891899436,458.2099766148219,626.5705471328877,573.3531254174071,,
