scorer,,,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar,Iskandar
labeled-data,BelowKnee_Left,img008.png,,,,,,,,,591.4333325910446,336.98514156411693,578.0902569372956,489.25318137748684,686.4046357736104,585.0093713632143,663.642918481921,649.3700892224738
labeled-data,BelowKnee_Left,img009.png,,,,,,,,,591.4333325910446,333.84559435147014,567.1018416930319,487.6834077711634,662.0731448755977,595.9977866074781,628.3230123396445,654.079410041444
labeled-data,BelowKnee_Left,img010.png,,,,,,,,,,,560.0378604645766,485.3287473616783,636.9567671744232,610.9106358675505,593.003106197368,656.4340704509291
labeled-data,BelowKnee_Left,img011.png,,,,,,,,,,,555.3285396456064,483.758973755355,606.346181851117,624.2537115212994,545.909898007666,657.2189572540908
labeled-data,BelowKnee_Left,img012.png,,,,,,,,,591.4333325910446,333.0607075483084,553.758766039283,486.8985209680018,570.2413889056787,636.0270135687249,508.2353314559044,655.6491836477674
labeled-data,BelowKnee_Left,img013.png,,,,,,,,,595.3577666068531,338.5549151704403,554.5436528424448,501.8113702280741,538.8459167792107,640.736334387695,467.42121769149594,645.4456552066653
labeled-data,BelowKnee_Left,img014.png,,,,,,,,,590.6484457878829,344.04912279257223,556.1134264487681,492.39272859013363,510.5899918653895,639.1665607813717,440.7350663839981,625.8234851276227
labeled-data,BelowKnee_Left,img015.png,,,,,,,,,596.1426534100149,345.61889639889563,553.758766039283,501.0264834249124,490.18293498318525,638.38167397821,428.9617643365726,614.835069883359
labeled-data,BelowKnee_Left,img016.png,,,,,,,,,597.7124270163382,353.46776443051266,543.5552375981808,508.8753514565294,492.53759539267037,642.3061079940185,424.2524435176024,619.5443907023291
labeled-data,BelowKnee_Left,img017.png,,,,,,,,,596.9275402131766,361.31663246212963,534.1365959602405,501.8113702280741,499.6015766211257,646.230542009827,431.3164247460577,632.1025795529164
labeled-data,BelowKnee_Left,img018.png,,,,,,,,,590.6484457878829,358.17708524948284,534.1365959602405,501.8113702280741,510.5899918653895,646.230542009827,442.3048399903215,647.0154288129887
labeled-data,BelowKnee_Left,img019.png,,,,,,,,,584.3693513625893,356.6073116431595,532.5668223539171,499.45670981858893,520.7935203064916,650.1549760256355,454.07814203774706,658.7887308604141
labeled-data,BelowKnee_Left,img020.png,,,,,,,,,583.5844645594276,360.531745658968,534.1365959602405,498.6718230154273,537.2761431728873,650.1549760256355,469.775878100981,662.7131648762227
labeled-data,BelowKnee_Left,img021.png,,,,,,,,,581.2298041499425,359.7468588558063,544.3401244013426,503.38114383439745,556.8983132519298,648.585202419312,487.04338777053846,664.2829384825461
labeled-data,BelowKnee_Left,img022.png,,,,,,,,,580.4449173467808,354.2526512336744,553.758766039283,504.1660306375592,570.2413889056787,650.1549760256355,504.31089744009586,661.928278073061
labeled-data,BelowKnee_Left,img023.png,,,,,,,,,,,564.7471812835468,504.9509174407209,587.5088985752361,646.230542009827,520.0086335033299,661.928278073061
labeled-data,BelowKnee_Left,img024.png,,,,,,,,,,,574.950709724649,499.45670981858893,603.2066346384702,647.0154288129887,536.4912563697255,659.5736176635759
labeled-data,BelowKnee_Left,img025.png,,,,,,,,,584.3693513625893,348.7584436115425,590.6484457878829,502.59625703123584,619.6892575048659,646.230542009827,552.1889924329596,661.928278073061
labeled-data,BelowKnee_Left,img026.png,,,,,,,,,585.1542381657509,343.26423598941057,603.2066346384702,507.30557785020596,635.3869935680998,645.4456552066653,571.811162512002,666.6375988920312
labeled-data,BelowKnee_Left,img027.png,,,,,,,,,587.5088985752361,344.04912279257223,617.3345970953808,505.7358042438826,652.6545032376573,645.4456552066653,589.8635589847213,667.4224856951929
labeled-data,BelowKnee_Left,img028.png,,,,,,,,,585.9391249689127,347.1886700052191,628.3230123396445,505.7358042438826,665.9975788914062,643.8758816003419,605.5612950479552,666.6375988920312
labeled-data,BelowKnee_Left,img029.png,,,,,,,,,588.2937853783978,351.89799082418926,638.5265407807467,506.52069104704424,683.2650885609636,641.5212211908567,622.0439179143509,663.4980516793844
labeled-data,BelowKnee_Left,img030.png,,,,,,,,,588.2937853783978,356.6073116431595,642.4509747965551,505.7358042438826,698.9628246241975,640.7363343876951,638.5265407807467,667.4224856951929
labeled-data,BelowKnee_Left,img031.png,,,,,,,,,587.5088985752361,357.3921984463212,651.0847296313339,511.2300118660145,712.3059002779465,636.0270135687249,653.439390040819,668.2073724983546
labeled-data,BelowKnee_Left,img032.png,,,,,,,,,586.7240117720744,367.5957268874233,644.8056352060403,508.0904646533677,723.2943155222104,633.6723531592398,670.7068997103763,668.9922593015164
labeled-data,BelowKnee_Left,img033.png,,,,,,,,,582.799577756266,370.7352741000701,635.3869935680998,509.66023825969114,731.9280703569891,625.8234851276228,687.1895225767721,669.777146104678
labeled-data,BelowKnee_Left,img034.png,,,,,,,,,576.5204833309723,369.16550049374666,625.1834651269978,511.2300118660145,730.3582967506657,620.3292775054908,701.3174850336827,672.1318065141631
labeled-data,BelowKnee_Left,img035.png,,,,,,,,,572.5960493151638,370.7352741000701,609.4857290637638,514.3695590786613,725.6489759316954,613.2652962770355,715.4454474905933,672.9166933173248
labeled-data,BelowKnee_Left,img036.png,,,,,,,,,567.1018416930319,367.5957268874233,592.2182193942064,516.7242194881464,715.4454474905933,606.986201851742,719.3698815064018,669.777146104678
labeled-data,BelowKnee_Left,img037.png,,,,,,,,,567.1018416930319,362.10151926529136,574.950709724649,514.3695590786613,698.1779378210359,603.0617678359334,698.9628246241975,667.4224856951929
labeled-data,BelowKnee_Left,img038.png,,,,,,,,,566.3169548898702,360.531745658968,556.1134264487681,510.44512506285275,678.5557677419933,601.4919942296101,665.2126920882445,668.9922593015164
labeled-data,BelowKnee_Left,img039.png,,,,,,,,,563.9622944803851,355.8224248399978,546.6947848108277,512.0148986691762,657.3638240566274,610.1257490643887,633.0323331586147,669.777146104678
labeled-data,BelowKnee_Left,img040.png,,,,,,,,,560.0378604645766,358.96197205264457,534.9214827634022,503.38114383439745,632.2474463554531,616.4048434896823,594.5728798036914,670.5620329078397
labeled-data,BelowKnee_Left,img041.png,,,,,,,,,563.1774076772234,348.7584436115425,527.8575015349469,501.0264834249124,603.2066346384702,626.6083719307845,556.8983132519298,671.3469197110014
labeled-data,BelowKnee_Left,img042.png,,,,,,,,,,,524.7179543223001,495.53227580278053,573.3809361183255,638.38167397821,513.7295390780363,669.777146104678
labeled-data,BelowKnee_Left,img043.png,,,,,,,,,557.6832000550914,343.26423598941057,520.7935203064916,500.24159662175066,539.6308035823724,647.0154288129887,476.05497252627464,668.2073724983546
labeled-data,BelowKnee_Left,img044.png,,,,,,,,,559.2529736614149,346.4037832020574,521.5784071096533,508.8753514565294,505.88067104641925,647.8003156161504,436.81063236818966,656.4340704509291
labeled-data,BelowKnee_Left,img045.png,,,,,,,,,564.7471812835468,351.11310402102754,520.0086335033299,511.2300118660145,476.8398593294363,647.0154288129887,410.1244810606918,638.38167397821
labeled-data,BelowKnee_Left,img046.png,,,,,,,,,570.2413889056787,356.6073116431595,520.0086335033299,508.8753514565294,462.7118968725257,643.0909947971802,394.4267449974578,621.1141643086526
labeled-data,BelowKnee_Left,img047.png,,,,,,,,,569.456502102517,348.7584436115425,515.2993126843596,506.52069104704424,461.14212326620236,647.0154288129887,392.8569713911344,628.1781455371079
labeled-data,BelowKnee_Left,img048.png,,,,,,,,,569.456502102517,354.2526512336744,506.665557849581,503.38114383439745,468.99099129781933,648.585202419312,402.2756130290748,639.9514475845334
labeled-data,BelowKnee_Left,img049.png,,,,,,,,,564.7471812835468,360.531745658968,499.6015766211257,505.7358042438826,481.54918014840655,654.079410041444,410.9093678638535,652.5096364351206
labeled-data,BelowKnee_Left,img050.png,,,,,,,,,558.4680868582532,355.8224248399978,503.5260106369342,500.24159662175066,494.10736899899376,651.7247496319588,426.6071039270875,657.2189572540908
labeled-data,BelowKnee_Left,img051.png,,,,,,,,,553.758766039283,355.8224248399978,509.80510506222777,501.8113702280741,515.2993126843596,651.7247496319588,449.3688212187768,661.928278073061
labeled-data,BelowKnee_Left,img052.png,,,,,,,,,556.1134264487681,347.1886700052191,520.7935203064916,504.9509174407209,531.7819355507554,650.9398628287972,463.4967836756874,664.2829384825461
labeled-data,BelowKnee_Left,img053.png,,,,,,,,,557.6832000550914,345.6188963988957,533.3517091570789,500.24159662175066,550.6192188266361,651.7247496319588,483.11895375472994,661.1433912698993
labeled-data,BelowKnee_Left,img054.png,,,,,,,,,,,548.2645584171511,494.7473889996188,570.2413889056787,648.585202419312,501.95623703061074,665.0678252857078
labeled-data,BelowKnee_Left,img055.png,,,,,,,,,571.811162512002,346.40378320205735,561.6076340709001,493.9625021964571,589.0786721815596,650.9398628287972,525.5028411254618,663.4980516793844
labeled-data,BelowKnee_Left,img056.png,,,,,,,,,570.2413889056787,351.89799082418926,573.3809361183255,499.45670981858893,606.346181851117,649.3700892224738,542.7703507950192,666.6375988920312
labeled-data,BelowKnee_Left,img057.png,,,,,,,,,572.5960493151638,340.90957557992544,592.2182193942064,503.38114383439745,625.9683519301594,650.1549760256355,562.3925208740617,669.777146104678
labeled-data,BelowKnee_Left,img058.png,,,,,,,,,581.2298041499425,340.1246887767638,610.2706158669255,512.7997854723379,644.8056352060403,647.8003156161503,578.8751437404574,668.9922593015164
labeled-data,BelowKnee_Left,img059.png,,,,,,,,,579.6600305436191,340.90957557992544,625.9683519301594,510.4451250628527,665.9975788914062,645.4456552066653,599.2822006226617,667.4224856951929
labeled-data,BelowKnee_Left,img060.png,,,,,,,,,585.1542381657509,347.1886700052191,639.3114275839084,513.5846722754995,681.6953149546403,646.230542009827,616.5497102922191,669.777146104678
labeled-data,BelowKnee_Left,img061.png,,,,,,,,,583.5844645594276,351.11310402102754,650.2998428281721,512.0148986691762,700.532598230521,643.8758816003419,636.9567671744232,668.2073724983546
labeled-data,BelowKnee_Left,img062.png,,,,,,,,,585.9391249689127,360.531745658968,655.7940504503041,510.4451250628527,717.8001079000785,637.5967871750482,658.1487108597892,668.2073724983546
labeled-data,BelowKnee_Left,img063.png,,,,,,,,,586.7240117720744,362.10151926529136,657.3638240566274,512.0148986691762,731.1431835538274,634.4572399624014,677.7708809388316,665.8527120888695
labeled-data,BelowKnee_Left,img064.png,,,,,,,,,585.9391249689127,358.96197205264457,645.590522009202,504.95091744072084,741.3467119949294,628.9630323402696,697.3930510178742,666.6375988920312
labeled-data,BelowKnee_Left,img065.png,,,,,,,,,580.4449173467808,357.3921984463212,637.741653977585,504.95091744072084,746.8409196170613,618.7595038991675,711.5210134747848,665.8527120888695
labeled-data,BelowKnee_Left,img066.png,,,,,,,,,577.305370134134,352.682877627351,626.7532387333212,511.2300118660144,742.9164856012528,612.4804094738738,728.7885231443422,669.777146104678
labeled-data,BelowKnee_Left,img067.png,,,,,,,,,574.1658229214872,342.4793491862489,607.9159554574403,510.44512506285275,733.4978439633124,604.6315414422569,735.0676175696359,667.4224856951929
labeled-data,BelowKnee_Left,img068.png,,,,,,,,,578.0902569372957,349.5433304147042,591.4333325910447,509.66023825969114,718.5849947032402,601.4919942296101,715.4454474905933,666.6375988920312
labeled-data,BelowKnee_Left,img069.png,,,,,,,,,582.0146909531043,352.682877627351,574.1658229214872,501.8113702280741,698.9628246241977,599.1373338201249,684.0499753641253,664.2829384825461
labeled-data,BelowKnee_Left,img070.png,,,,,,,,,579.6600305436191,347.1886700052191,563.9622944803851,498.6718230154273,676.2011073325084,603.8466546390952,651.0847296313339,666.6375988920312
labeled-data,BelowKnee_Left,img071.png,,,,,,,,,582.0146909531043,337.77002836727866,550.6192188266363,496.31716260594214,649.5149560250105,613.2652962770355,614.9799366858956,670.5620329078397
labeled-data,BelowKnee_Left,img072.png,,,,,,,,,,,548.2645584171512,493.9625021964571,626.7532387333213,628.1781455371079,575.7355965278107,675.2713537268099
labeled-data,BelowKnee_Left,img073.png,,,,,,,,,578.0902569372957,323.64206591036805,540.4156903855342,494.7473889996188,593.0031061973681,636.8119003718866,528.6423883381087,672.1318065141631
labeled-data,BelowKnee_Left,img074.png,,,,,,,,,583.5844645594277,336.98514156411704,539.6308035823724,495.53227580278053,558.4680868582533,648.585202419312,492.5375953926705,671.3469197110014
labeled-data,BelowKnee_Left,img075.png,,,,,,,,,588.293785378398,348.75844361154253,539.6308035823724,500.2415966217507,525.5028411254618,655.6491836477675,451.723481628262,664.2829384825461
labeled-data,BelowKnee_Left,img076.png,,,,,,,,,591.4333325910447,355.82242483999784,539.6308035823726,513.5846722754995,494.1073689989938,654.8642968446057,421.1128963049557,643.0909947971802
labeled-data,BelowKnee_Left,img077.png,,,,,,,,,594.5728798036915,360.531745658968,541.9854639918576,509.66023825969114,478.4096329357599,655.6491836477675,409.33959425753017,634.4572399624014
labeled-data,BelowKnee_Left,img078.png,,,,,,,,,599.2822006226618,364.45617967477654,536.4912563697258,510.44512506285287,479.19451973892154,661.1433912698993,408.5547074543685,636.0270135687249
labeled-data,BelowKnee_Left,img079.png,,,,,,,,,595.3577666068533,365.24106647793826,531.7819355507555,515.9393326849847,489.3980481800237,668.2073724983546,421.8977831081174,652.5096364351207
labeled-data,BelowKnee_Left,img080.png,,,,,,,,,593.0031061973682,366.02595328109993,526.2877279286236,513.5846722754997,500.38646342428746,669.7771461046781,428.9617643365727,666.6375988920313
labeled-data,BelowKnee_Left,img081.png,,,,,,,,,589.0786721815596,358.1770612966385,527.857501534947,515.1544219289786,518.4388598970065,672.9166693644804,444.6595003998067,676.8411033802889
labeled-data,BelowKnee_Left,img082.png,,,,,,,,,592.2182193942065,358.1770612966385,532.5668223539171,514.3695351258169,534.9214827634023,672.1317825613188,464.28167047884915,681.5504241992592
labeled-data,BelowKnee_Left,img083.png,,,,,,,,,585.1542381657512,363.67126891877047,540.4156903855342,519.8637427479489,550.6192188266363,672.9166693644804,478.40963293575976,681.5504241992592
labeled-data,BelowKnee_Left,img084.png,,,,,,,,,587.5088985752361,349.54330646185986,551.4041056297979,514.3695351258169,566.3169548898702,671.3468957581571,497.24691621164055,687.044631821391
labeled-data,BelowKnee_Left,img085.png,,,,,,,,,,,563.1774076772235,518.2939691416254,585.9391249689128,673.7015561676421,513.7295390780364,686.2597450182294
labeled-data,BelowKnee_Left,img086.png,,,,,,,,,,,577.3053701341341,523.0032899605957,604.7764082447936,670.5620089549955,533.3517091570789,684.6899714119061
labeled-data,BelowKnee_Left,img087.png,,,,,,,,,590.648445787883,348.75841965869813,589.8635589847213,514.369535125817,622.8288047175126,669.7771221518336,552.1889924329596,687.044631821391
labeled-data,BelowKnee_Left,img088.png,,,,,,,,,593.003106197368,353.4677404776683,603.9915214416319,514.3695351258169,640.8812011902318,668.9922353486719,574.1658229214872,688.6144054277145
labeled-data,BelowKnee_Left,img089.png,,,,,,,,,598.4973138194999,353.4677404776683,617.3345970953808,514.3695351258169,659.7184844661126,668.2073485455103,589.8635589847213,686.2597450182294
labeled-data,BelowKnee_Left,img090.png,,,,,,,,,596.1426534100149,348.75841965869813,630.6776727491297,512.0148747163319,676.98599413567,665.8526881360251,611.0555026700872,687.044631821391
labeled-data,BelowKnee_Left,img091.png,,,,,,,,,600.851974228985,356.60728769031516,644.8056352060403,519.8637427479489,694.2535038052274,664.2829145297018,629.892785945968,688.6144054277145
labeled-data,BelowKnee_Left,img092.png,,,,,,,,,598.4973138194999,351.8979668713449,653.439390040819,513.5846483226552,709.9512398684615,661.143367317055,645.590522009202,684.689971411906
labeled-data,BelowKnee_Left,img093.png,,,,,,,,,593.7879930005297,360.5317217061236,658.9335976629509,519.8637427479489,725.6489759316954,656.4340464980847,664.4278052850827,686.2597450182294
labeled-data,BelowKnee_Left,img094.png,,,,,,,,,590.6484457878829,358.1770612966385,654.2242768439806,515.1544219289786,739.776938388606,651.7247256791145,683.2650885609636,685.4748582150677
labeled-data,BelowKnee_Left,img095.png,,,,,,,,,584.3693513625893,358.9619480998002,647.9451824186871,516.7241955353021,746.8409196170613,642.3060840411741,698.9628246241975,686.2597450182294
labeled-data,BelowKnee_Left,img096.png,,,,,,,,,580.4449173467808,360.5317217061236,636.1718803712615,522.218403157434,749.1955800265464,636.0269896158806,715.4454474905933,688.6144054277145
labeled-data,BelowKnee_Left,img097.png,,,,,,,,,576.5204833309723,361.31660850928535,619.6892575048659,528.4974975827275,745.271146010738,631.3176687969103,729.5734099475039,693.3237262466847
labeled-data,BelowKnee_Left,img098.png,,,,,,,,,574.950709724649,361.31660850928535,600.0670874258233,528.4974975827275,731.1431835538274,623.4688007652933,735.8525043727975,690.9690658371995
labeled-data,BelowKnee_Left,img099.png,,,,,,,,,573.3809361183255,358.9619480998002,583.5844645594276,530.8521579922126,713.8756738842699,618.7594799463232,710.7361266716232,692.538839443523
labeled-data,BelowKnee_Left,img100.png,,,,,,,,,572.5960493151638,361.31660850928535,567.1018416930319,521.4335163542722,695.8232774115509,621.89902715897,674.631333726185,690.1841790340379
labeled-data,BelowKnee_Left,img101.png,,,,,,,,,571.811162512002,358.1770612966385,549.8343320234745,519.8637427479489,668.3522393008913,628.9630083874252,641.6660879933935,693.3237262466846
labeled-data,BelowKnee_Left,img102.png,,,,,,,,,571.811162512002,357.39217449347683,539.6308035823724,515.9393087321404,644.8056352060403,640.7363104348508,602.4217478353085,694.1086130498463
labeled-data,BelowKnee_Left,img103.png,,,,,,,,,571.811162512002,357.39217449347683,534.1365959602405,512.0148747163319,614.1950498827339,651.7247256791145,554.5436528424448,688.6144054277145
labeled-data,BelowKnee_Left,img104.png,,,,,,,,,,,529.4272751412702,519.0788559447872,582.0146909531043,664.2829145297018,516.0841994875213,694.893499853008
labeled-data,BelowKnee_Left,img105.png,,,,,,,,,570.2413889056787,354.25262728083004,527.0726147317852,520.6486295511106,545.1250112045043,673.7015561676421,477.62474613259803,692.538839443523
labeled-data,BelowKnee_Left,img106.png,,,,,,,,,574.1658229214872,361.31660850928535,527.857501534947,521.4335163542723,511.3748786685513,678.4108769866125,436.8106323681897,682.3353110024209
labeled-data,BelowKnee_Left,img107.png,,,,,,,,,577.3053701341341,365.241042525094,527.857501534947,525.3579503700807,481.54918014840666,675.2713297739656,408.5547074543684,661.9282541202167
labeled-data,BelowKnee_Left,img108.png,,,,,,,,,580.4449173467808,366.81081613141725,526.2877279286234,529.2823843858893,462.7118968725257,676.0562165771273,392.8569713911344,649.3700652696294
labeled-data,BelowKnee_Left,img109.png,,,,,,,,,580.4449173467808,373.08991055671083,520.0086335033299,531.6370447953743,462.7118968725257,678.4108769866124,395.2116318006195,654.8642728917614
labeled-data,BelowKnee_Left,img110.png,,,,,,,,,575.7355965278107,378.58411817884274,513.7295390780363,533.9917052048595,472.1305385104661,682.3353110024209,400.7058394227514,665.8526881360251
labeled-data,BelowKnee_Left,img111.png,,,,,,,,,573.3809361183255,379.36900498200447,509.02021825906604,530.067271189051,483.11895375472994,683.9050846087443,413.26402827333857,681.5504241992592
labeled-data,BelowKnee_Left,img112.png,,,,,,,,,569.456502102517,377.7992313756811,505.88067104641925,531.6370447953743,501.17135022744907,686.2597450182293,428.1768775334109,688.6144054277145
labeled-data,BelowKnee_Left,img113.png,,,,,,,,,560.0378604645766,373.08991055671083,511.37487866855116,530.8521579922126,516.0841994875213,686.2597450182293,444.6595003998066,693.3237262466846
labeled-data,BelowKnee_Left,img114.png,,,,,,,,,560.0378604645766,369.95036334406404,517.6539730938448,529.2823843858893,534.1365959602405,686.2597450182293,465.85144408517255,691.7539526403613
labeled-data,BelowKnee_Left,img115.png,,,,,,,,,559.2529736614149,368.38058973774065,527.8575015349469,536.3463656143446,555.3285396456064,685.4748582150677,479.97940654208315,698.8179338688166
labeled-data,BelowKnee_Left,img116.png,,,,,,,,,555.3285396456064,369.16547654090226,545.909898007666,527.7126107795658,569.456502102517,683.9050846087442,498.81668981796395,695.6783866561698
labeled-data,BelowKnee_Left,img117.png,,,,,,,,,,,556.1134264487681,535.5614788111828,588.2937853783978,683.1201978055826,517.6539730938448,697.2481602624932
labeled-data,BelowKnee_Left,img118.png,,,,,,,,,573.3809361183255,351.89796687134486,571.0262757088403,526.1428371732425,606.3461818511169,676.8411033802889,536.4912563697255,694.1086130498463
labeled-data,BelowKnee_Left,img119.png,,,,,,,,,572.5960493151638,355.03751408399165,586.7240117720744,515.1544219289786,624.3985783238361,677.6259901834505,562.3925208740617,696.4632734593315
labeled-data,BelowKnee_Left,img120.png,,,,,,,,,574.950709724649,348.7584196586981,600.0670874258233,521.4335163542722,641.6660879933934,676.0562165771272,574.950709724649,700.3877074751399
labeled-data,BelowKnee_Left,img121.png,,,,,,,,,578.8751437404574,359.74683490296184,613.4101630795722,520.6486295511105,660.5033712692743,673.701556167642,593.003106197368,696.4632734593315
labeled-data,BelowKnee_Left,img122.png,,,,,,,,,578.8751437404574,362.8863821156087,628.3230123396445,526.1428371732424,676.2011073325083,670.5620089549952,609.4857290637638,693.3237262466846
labeled-data,BelowKnee_Left,img123.png,,,,,,,,,575.7355965278107,364.456155721932,637.741653977585,530.0672711890508,693.4686170020657,667.4224617423484,627.5381255364828,695.6783866561697
labeled-data,BelowKnee_Left,img124.png,,,,,,,,,573.3809361183255,366.81081613141714,638.5265407807467,526.9277239764041,709.1663530652997,666.6375749391867,647.1602956155253,695.6783866561697
labeled-data,BelowKnee_Left,img125.png,,,,,,,,,574.950709724649,371.52013695038755,638.5265407807467,526.9277239764043,721.724541915887,658.78870690757,661.2882580724361,693.3237262466848
labeled-data,BelowKnee_Left,img126.png,,,,,,,,,571.8111625120022,377.01434457251946,632.2474463554531,523.0032899605959,731.1431835538274,651.7247256791147,679.3406545451552,694.1086130498466
labeled-data,BelowKnee_Left,img127.png,,,,,,,,,565.5320680867086,369.1654765409025,619.689257504866,526.9277239764043,734.2827307664743,644.6607444506594,695.8232774115509,696.4632734593316
labeled-data,BelowKnee_Left,img128.png,,,,,,,,,561.6076340709001,369.95036334406416,607.1310686542787,533.2068184016978,730.3582967506657,637.5967632222041,710.7361266716232,698.8179338688168
labeled-data,BelowKnee_Left,img129.png,,,,,,,,,556.8983132519298,371.52013695038755,588.2937853783978,532.421931598536,717.0152210969168,633.6723292063956,721.724541915887,699.6028206719785
labeled-data,BelowKnee_Left,img130.png,,,,,,,,,552.9738792361213,366.81081613141737,567.8867284961937,533.2068184016978,702.1023718368444,626.6083479779403,702.8872586400062,694.1086130498466
labeled-data,BelowKnee_Left,img131.png,,,,,,,,,552.9738792361213,365.241042525094,552.1889924329596,530.0672711890511,680.1255413483168,624.2536875684551,670.7068997103765,694.1086130498466
labeled-data,BelowKnee_Left,img132.png,,,,,,,,,551.404105629798,358.96194809980034,534.9214827634023,521.4335163542723,657.3638240566275,625.8234611747786,636.1718803712616,694.1086130498466
labeled-data,BelowKnee_Left,img133.png,,,,,,,,,549.8343320234745,354.25262728083015,520.0086335033299,517.5090823384637,628.3230123396445,632.8874424032336,596.9275402131766,694.893499853008
labeled-data,BelowKnee_Left,img134.png,,,,,,,,,544.3401244013426,350.32819326502147,506.665557849581,515.1544219289786,600.851974228985,647.8002916633061,551.4041056297979,697.2481602624932
labeled-data,BelowKnee_Left,img135.png,,,,,,,,,,,504.31089744009586,513.5846483226552,564.7471812835468,658.7887069075698,508.2353314559044,695.6783866561698
labeled-data,BelowKnee_Left,img136.png,,,,,,,,,536.4912563697255,348.7584196586981,498.0318030148022,515.1544219289786,530.9970487475937,667.4224617423486,461.92701006936403,694.1086130498463
labeled-data,BelowKnee_Left,img137.png,,,,,,,,,542.7703507950192,354.2526272808299,490.9678217863469,521.4335163542722,492.53759539267037,674.4864429708039,420.3280095017939,688.6144054277145
labeled-data,BelowKnee_Left,img138.png,,,,,,,,,546.6947848108277,356.60728769031505,489.3980481800236,521.4335163542722,458.0025760535556,674.4864429708039,381.86855614687056,668.2073485455103
labeled-data,BelowKnee_Left,img139.png,,,,,,,,,550.6192188266361,363.67126891877035,492.53759539267037,526.1428371732425,432.88619835238114,673.7015561676421,359.891725658343,649.3700652696294
labeled-data,BelowKnee_Left,img140.png,,,,,,,,,549.0494452203128,364.4561557219321,487.8282745737001,528.4974975827275,425.82221712392584,668.2073485455103,353.61263123304934,639.9514236316891
labeled-data,BelowKnee_Left,img141.png,,,,,,,,,549.0494452203128,366.0259293282555,481.54918014840655,520.6486295511105,432.1013115492194,676.8411033802889,363.03127287098977,652.5096124822762
labeled-data,BelowKnee_Left,img142.png,,,,,,,,,540.4156903855342,365.24104252509375,475.27008572311297,522.218403157434,442.3048399903215,676.8411033802889,372.4499145089302,665.0678013328634
labeled-data,BelowKnee_Left,img143.png,,,,,,,,,527.8575015349469,366.0259293282555,472.1305385104662,516.724195535302,455.6479156440704,680.7655373960974,386.5778769658408,679.195763789774
labeled-data,BelowKnee_Left,img144.png,,,,,,,,,527.0726147317852,366.0259293282555,472.1305385104662,515.9393087321403,472.1305385104662,675.2713297739656,399.13606581642796,683.9050846087442
labeled-data,BelowKnee_Left,img145.png,,,,,,,,,523.9330675191384,361.31660850928523,480.7642933452448,519.0788559447872,488.61316137686185,677.6259901834507,418.75823589547053,686.2597450182293
labeled-data,BelowKnee_Left,img146.png,,,,,,,,,520.7935203064916,358.96194809980017,487.8282745737001,521.4335163542722,505.88067104641925,675.2713297739656,438.380405974513,685.4748582150676
labeled-data,BelowKnee_Left,img147.png,,,,,,,,,519.2237467001681,367.59570293457887,498.0318030148022,512.7997615194936,525.5028411254618,674.4864429708039,454.8630288409087,686.2597450182293
labeled-data,BelowKnee_Left,img148.png,,,,,,,,,,,514.514425881198,515.9393087321403,543.5552375981808,675.2713297739656,473.7003121167895,686.2597450182293
